id,user_id,project_id,title,description,start_time,end_time,estimated_duration,effort_level,category,priority,status,reward_points,created_at,updated_at
1,1,1,Setup Project Repo,Initialize GitHub repository and setup branches,2025-08-01 09:00,2025-08-01 10:00,60,2,Development,High,completed,10,2025-08-01,2025-08-01
2,1,1,Design Wireframes,Create UI wireframes for main pages,2025-08-01 11:00,2025-08-01 13:00,120,3,Design,High,completed,15,2025-08-01,2025-08-01
3,1,1,Setup CI/CD,Configure GitHub Actions and Vercel deploy,2025-08-02 09:00,2025-08-02 11:00,120,3,DevOps,High,in_progress,20,2025-08-01,2025-08-02
4,1,1,Create Database Schema,Plan and design initial schema,2025-08-02 13:00,2025-08-02 16:00,180,4,Database,Medium,not_started,25,2025-08-01,2025-08-02
5,1,1,Implement Auth,Add login and signup functionality,2025-08-03 09:00,2025-08-03 12:00,180,4,Development,High,not_started,30,2025-08-01,2025-08-02
6,1,2,Plan Marketing Strategy,Outline digital channels and campaigns,2025-08-04 09:00,2025-08-04 11:00,120,3,Marketing,Medium,not_started,15,2025-08-02,2025-08-03
7,1,2,Create Landing Page,Develop marketing landing page,2025-08-04 13:00,2025-08-04 16:00,180,4,Development,High,not_started,25,2025-08-02,2025-08-03
8,1,2,Setup Analytics,Integrate Google Analytics and Mixpanel,2025-08-05 09:00,2025-08-05 11:00,120,2,Analytics,Medium,not_started,15,2025-08-02,2025-08-03
9,1,2,Design Social Media Assets,Prepare graphics and banners,2025-08-05 12:00,2025-08-05 14:00,120,2,Design,Low,not_started,10,2025-08-02,2025-08-03
10,1,2,Launch Email Campaign,Setup Mailchimp automation,2025-08-06 09:00,2025-08-06 11:00,120,3,Marketing,High,not_started,20,2025-08-02,2025-08-03
11,1,3,Define Habit Categories,Brainstorm habit categories (health, work, learning),2025-08-07 09:00,2025-08-07 10:00,60,1,Research,Low,completed,5,2025-08-03,2025-08-04
12,1,3,Setup Habit Tracker DB,Create schema for habits,2025-08-07 11:00,2025-08-07 13:00,120,3,Database,Medium,in_progress,15,2025-08-03,2025-08-04
13,1,3,Develop Habit UI,Create UI for adding habits,2025-08-08 09:00,2025-08-08 12:00,180,4,Development,High,not_started,25,2025-08-03,2025-08-05
14,1,3,Add Habit Reminders,Integrate notifications,2025-08-08 13:00,2025-08-08 15:00,120,3,Development,High,not_started,20,2025-08-03,2025-08-05
15,1,3,Test Habit Module,QA for habit tracker,2025-08-09 09:00,2025-08-09 11:00,120,2,Testing,Medium,not_started,10,2025-08-03,2025-08-05
16,1,4,Brainstorm Features,Ideation session,2025-08-10 09:00,2025-08-10 10:00,60,1,Research,Low,completed,5,2025-08-04,2025-08-06
